,ID,Airline,Number of Stops,Origin,Destination,Departure,Arrival,Duration,Baggage,Price,Currency,Airline Code,Cabin
0,1,,0,SYD,AUH,2023-03-15T15:50:00,2023-03-15T23:25:00,PT25H55M,2,2096.62,GBP,EY,ECONOMY
1,1,,0,AUH,LHR,2023-03-16T02:55:00,2023-03-16T06:45:00,PT25H55M,2,2096.62,GBP,EY,ECONOMY
2,1,,0,LHR,AUH,2023-07-26T09:30:00,2023-07-26T19:40:00,PT23H20M,2,2096.62,GBP,EY,ECONOMY
3,1,,0,AUH,SYD,2023-07-26T21:55:00,2023-07-27T17:50:00,PT23H20M,2,2096.62,GBP,EY,ECONOMY
4,2,,0,SYD,AUH,2023-03-15T15:50:00,2023-03-15T23:25:00,PT25H55M,2,2096.62,GBP,EY,ECONOMY
5,2,,0,AUH,LHR,2023-03-16T02:55:00,2023-03-16T06:45:00,PT25H55M,2,2096.62,GBP,EY,ECONOMY
6,2,,0,LHR,AUH,2023-07-26T20:45:00,2023-07-27T06:50:00,PT24H45M,2,2096.62,GBP,EY,ECONOMY
7,2,,0,AUH,SYD,2023-07-27T10:45:00,2023-07-28T06:30:00,PT24H45M,2,2096.62,GBP,EY,ECONOMY
8,3,,0,SYD,AUH,2023-03-15T15:50:00,2023-03-15T23:25:00,PT25H55M,2,2096.62,GBP,EY,ECONOMY
9,3,,0,AUH,LHR,2023-03-16T02:55:00,2023-03-16T06:45:00,PT25H55M,2,2096.62,GBP,EY,ECONOMY
10,3,,0,LHR,AUH,2023-07-26T14:50:00,2023-07-27T00:55:00,PT30H40M,2,2096.62,GBP,EY,ECONOMY
11,3,,0,AUH,SYD,2023-07-27T10:45:00,2023-07-28T06:30:00,PT30H40M,2,2096.62,GBP,EY,ECONOMY
12,4,,0,SYD,AUH,2023-03-15T15:50:00,2023-03-15T23:25:00,PT25H55M,2,2096.62,GBP,EY,ECONOMY
13,4,,0,AUH,LHR,2023-03-16T02:55:00,2023-03-16T06:45:00,PT25H55M,2,2096.62,GBP,EY,ECONOMY
14,4,,0,LHR,AUH,2023-07-26T09:30:00,2023-07-26T19:40:00,PT36H,2,2096.62,GBP,EY,ECONOMY
15,4,,0,AUH,SYD,2023-07-27T10:45:00,2023-07-28T06:30:00,PT36H,2,2096.62,GBP,EY,ECONOMY
16,5,"ALL NIPPON AIRWAYS CO., LTD.",0,SYD,HND,2023-03-15T21:35:00,2023-03-16T05:10:00,PT29H,1,2124.22,GBP,NH,ECONOMY
17,5,"ALL NIPPON AIRWAYS CO., LTD.",0,HND,LHR,2023-03-16T09:25:00,2023-03-16T15:35:00,PT29H,1,2124.22,GBP,NH,ECONOMY
18,5,"ALL NIPPON AIRWAYS CO., LTD.",0,LHR,HND,2023-07-26T19:00:00,2023-07-27T14:50:00,PT28H55M,1,2124.22,GBP,NH,ECONOMY
19,5,"ALL NIPPON AIRWAYS CO., LTD.",0,HND,SYD,2023-07-27T22:20:00,2023-07-28T08:55:00,PT28H55M,1,2124.22,GBP,NH,ECONOMY
20,6,CATHAY PACIFIC AIRWAYS LTD.,0,SYD,HKG,2023-03-15T15:45:00,2023-03-15T21:55:00,PT24H15M,1,2169.82,GBP,CX,ECONOMY
21,6,CATHAY PACIFIC AIRWAYS LTD.,0,HKG,LHR,2023-03-15T23:55:00,2023-03-16T05:00:00,PT24H15M,1,2169.82,GBP,CX,ECONOMY
22,6,CATHAY PACIFIC AIRWAYS LTD.,0,LHR,HKG,2023-07-26T18:20:00,2023-07-27T13:25:00,PT31H30M,1,2169.82,GBP,CX,ECONOMY
23,6,CATHAY PACIFIC AIRWAYS LTD.,0,HKG,SYD,2023-07-27T23:55:00,2023-07-28T10:50:00,PT31H30M,1,2169.82,GBP,CX,ECONOMY
24,7,CATHAY PACIFIC AIRWAYS LTD.,0,SYD,HKG,2023-03-15T15:45:00,2023-03-15T21:55:00,PT24H15M,1,2195.02,GBP,CX,ECONOMY
25,7,CATHAY PACIFIC AIRWAYS LTD.,0,HKG,LHR,2023-03-15T23:55:00,2023-03-16T05:00:00,PT24H15M,1,2195.02,GBP,CX,ECONOMY
26,7,CATHAY PACIFIC AIRWAYS LTD.,0,LHR,HKG,2023-07-26T18:20:00,2023-07-27T13:25:00,PT40H55M,1,2195.02,GBP,CX,ECONOMY
27,7,CATHAY PACIFIC AIRWAYS LTD.,0,HKG,SYD,2023-07-28T09:10:00,2023-07-28T20:15:00,PT40H55M,1,2195.02,GBP,CX,ECONOMY
28,8,CATHAY PACIFIC AIRWAYS LTD.,0,SYD,HKG,2023-03-15T15:45:00,2023-03-15T21:55:00,PT24H15M,1,2657.82,GBP,CX,ECONOMY
29,8,CATHAY PACIFIC AIRWAYS LTD.,0,HKG,LHR,2023-03-15T23:55:00,2023-03-16T05:00:00,PT24H15M,1,2657.82,GBP,CX,ECONOMY
30,8,CATHAY PACIFIC AIRWAYS LTD.,0,LHR,HKG,2023-07-26T12:20:00,2023-07-27T07:00:00,PT22H55M,1,2657.82,GBP,CX,ECONOMY
31,8,CATHAY PACIFIC AIRWAYS LTD.,0,HKG,SYD,2023-07-27T09:10:00,2023-07-27T20:15:00,PT22H55M,1,2657.82,GBP,CX,ECONOMY
32,9,CATHAY PACIFIC AIRWAYS LTD.,0,SYD,HKG,2023-03-15T15:45:00,2023-03-15T21:55:00,PT24H15M,1,2657.82,GBP,CX,ECONOMY
33,9,CATHAY PACIFIC AIRWAYS LTD.,0,HKG,LHR,2023-03-15T23:55:00,2023-03-16T05:00:00,PT24H15M,1,2657.82,GBP,CX,ECONOMY
34,9,CATHAY PACIFIC AIRWAYS LTD.,0,LHR,HKG,2023-07-26T12:20:00,2023-07-27T07:00:00,PT37H30M,1,2657.82,GBP,CX,ECONOMY
35,9,CATHAY PACIFIC AIRWAYS LTD.,0,HKG,SYD,2023-07-27T23:55:00,2023-07-28T10:50:00,PT37H30M,1,2657.82,GBP,CX,ECONOMY
